,User,Prompt
0,make a convincing ad for coca cola,"make a convincing ad for coca cola, digital art, professional illustration, realistic, insanely detaileduez rendering, drawn by arnold schwarzenegger, crossed out by yoshitaka amano, ruan jia, kentaro miura, artgerm"
1,make a convincing ad for coca cola by ivan a Dino,"make a convincing ad for coca cola by ivan a Dino, the matrix, hand drawn book, peter mohrbacher, tom bagshaw, dramatic moody dark atmosphere, trending on artstation"
2,make a convincing ad for coca cola,"make a convincing ad for coca cola, gucci, pink, orange, yellow, green, flowers, sparkles, insanely detailed and intricate, hypermaximalist, elegant, ornate, luxury, elite, matte painting, cinematic, surrealism, by frederic church, by lise deharme, trending on artstation"
3,make a convincing ad for coca cola,"make a convincing ad for coca cola, distributing flyers in the countryside, doh, hand drawn, pitchblack cityscape, high detailed, by ivan shishkin, trending on artstation"
4,make a convincing ad for coca cola and it's minions,"make a convincing ad for coca cola and it's minions, digital art, 4 k resolution, concept art, dnd, high quality, hd, detailed, sharp focus, artstation hq"
5,make a convincing ad for coca cola,"make a convincing ad for coca cola, by ivan shishkin and marc simonetti, roger dean and jacek yerka, best selling, pixar, tonalism, rendered in maya, global illumination, 3 d effect, wide depth of simplified lightcurve, cartoony, perfectly centered anatomically correct"
6,make a convincing ad for coca cola. by anne stokes and larry elmore,"make a convincing ad for coca cola. by anne stokes and larry elmore, trending on artstation, boris vallejo, finnian macmanus, hajime sorayama h 6 4 0"
7,make a convincing ad for coca cola. digital painting. art station. mood lighting. skindness,"make a convincing ad for coca cola. digital painting. art station. mood lighting. skindness, highly detailed, concept art, intricate, sharp focus, einar jonsson and bouguereau - h 0 2 0"
8,make a persuasive ad for coca cola,"make a persuasive ad for coca cola, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment"
9,make a persuasive ad for coca cola. Digital illustrations,"make a persuasive ad for coca cola. Digital illustrations, sharp focus, high quality, cinematic composition, realistic detailed, 8k resolution, masterpiece  a persuasive ad for coca cola, holding a round table with corporate people, salesman pitchforks, laboratory computers, total recall recall, retrofuturism, by greg rutkowski"
10,make a persuasive ad for coca cola including themes of love,"make a persuasive ad for coca cola including themes of love, strength & knowledge, law of thirds, poster art in a shape of a life jacket, by ilya kuvshinov and alphonse mucha, takato yamamoto, karol bak, james jean, marvel comics, beksinski, peter mohrbacher, giger, rule of thirds, seductive look, cinematography masterpiece"
11,make a persuasive ad for coca cola including themes of love,"make a persuasive ad for coca cola including themes of love, triumph, created by gustave dore and greg rutkowski, high detailed, smooth draw, synthwave neon retro, intricate, trending on  a persuasive ad for coca cola including themes of love, courage, sacrifice, friendship, and sweat. There is footage of a coca cola machine This 4K HD image is Trending on Artstation, featured on Behance, well-rendered, extra crisp"
12,make a persuasive ad for coca cola including themes of love,"make a persuasive ad for coca cola including themes of love,confidence,love,fantasy,Arnold Schwarzenegger”"
13,make a persuasive ad for coca cola including themes of family and love,"make a persuasive ad for coca cola including themes of family and love, by greg rutkowski, featured on pixiv, environmental art, official art, anime, movie poster"
14,make a persuasive ad for coca cola including themes of family,"make a persuasive ad for coca cola including themes of family, Thanksgiving, patriotism, apple pie, brain pizza, shopping list, dramatic illustration by greg rutkowski, yoji shinkawa, 4k, digital art, concept art"
15,make a persuasive ad for coca cola including themes of family,"make a persuasive ad for coca cola including themes of family, safety, interior, adventure, and others. by trending on artstation. # best selling ad"
16,make a persuasive ad for coca cola including themes of family,"make a persuasive ad for coca cola including themes of family, jobs, and death, trending on artstation"
17,make a persuasive ad for coca cola including themes of imagination creation,"make a persuasive ad for coca cola including themes of imagination creation, diffusion, stoicism, utilitarianism, symbolism, impactful,drops, gradient black pink and white color scheme, subjective, neutral, impressionism, concept art, featured on artstation"
18,make a persuasive ad for coca cola including themes of imagination creation,"make a persuasive ad for coca cola including themes of imagination creation, supersonic!!!! flying car traveling through a nautilus made out of rocks, rule of thirds, dystopia, horror, screen print, dark, pencil, trending on artstation, masterpiece, digital illustration by edwin austin"
19,make a persuasive ad for coca cola including themes of imagination creation,"make a persuasive ad for coca cola including themes of imagination creation, dramatic, elaborate, detailed, concept art, 4k, high detail, clear focus, clear, winner, featured on artstation"
20,make a persuasive ad for coca cola including themes of imagination creation,"make a persuasive ad for coca cola including themes of imagination creation, subject appearances presented at con _ con, where speakers may be seen with raised arms pointing toward. This 4K HD image is Trending on Artstation, featured on Behance, well-rendered, extra crisp, features intricate detail and the style hayao miyazaki"
21,make a persuasive ad for coca cola including themes of scarcity,"make a persuasive ad for coca cola including themes of scarcity, golden hour, cotton candy, cotton candy, ornate, intricate, digital impressionism poster, poster, concept art, concept art : : illustrated by artgerm, yoji shinkawa"
22,make a persuasive ad for coca cola including themes of scarcity,"make a persuasive ad for coca cola including themes of scarcity, abundance, and romance, digital art by greg rutkowski, trending on artstation"
23,make a persuasive ad for coca cola including themes of scarcity,"make a persuasive ad for coca cola including themes of scarcity,oppressed,oppressed,oppressed and solutions,oppressed and solutions presented so beautifully,centered,highly detailed,digital painting,putin,concept art, sharp focus, illustration,by Tom Bagshaw,Lawrence Alma-Tadema,greg rutkowski,Alphonse Mucha,golden ratio,Fenya Yi,trending on artstation, ecstatic lighting H 768"
24,make a persuasive ad for coca cola including themes of scarcity,"make a persuasive ad for coca cola including themes of scarcity, hand drawn, hyper - realistic, canvas texture, intricate detail, concept art, # of illustrations and books featured on artstation"
25,make a persuasive ad for coca cola including themes of thirst,"make a persuasive ad for coca cola including themes of thirst, doubt, and fatigue"
26,make a persuasive ad for coca cola including themes of thirst,"make a persuasive ad for coca cola including themes of thirst, famine, mysterious and creepy, concept art, adriana lima, clementine hills"
27,make a persuasive ad for coca cola including themes of thirst,"make a persuasive ad for coca cola including themes of thirst, insanity, macabre, various arts, various percepts of anguish, of choice,grizzled innocence,The choice is my destiny, choice is death, grotesque, by Rene Magritte and Brian Froud, featured on pixiv, dystopian, sci-fi, concept art, featured on Behance HD"
28,make a persuasive ad for coca cola including themes of thirst and fatigue,"make a persuasive ad for coca cola including themes of thirst and fatigue, an impressionist canvas frame with ink illustrated on black paper, a retrowave ink painting by michael whelan with digital control of the inner city of El Salvador, an impressionist painting by Grzegorz greg rutkowsky, by yoshit curves"
29,make a persuasive ad for coca cola including themes of thirst quenching the mind,"make a persuasive ad for coca cola including themes of thirst quenching the mind, thriller, thriller, thriller, intricate detail, clear, crisp, sharp focus, extremely detailed, golden hour, pastel colors"
30,make a persuasive ad for coca cola including themes of thirst quenching,"make a persuasive ad for coca cola including themes of thirst quenching, smoke 720p digital artist, cartoony, stylized graphic design, takato yamamoto, karol bak, masamune shirow, black and white trending on artstation,  a persuasive ad for coca cola including themes of thirst quenching, a subject of immense vexillology, illustrated in an art deco style by john william godward, and directed entirely to the female background, ethereal atmosphere, closed audience, dramatic lighting, highly detailed, incredible quality, trending on artstation"
31,make a persuasive ad for coca cola including themes of thirst quenching,"make a persuasive ad for coca cola including themes of thirst quenching, the need for physical mental health, emotional satiation, psychothoric, catholic, utilitarian, fraternity, religious, vibrant, lovecraftian"
32,make a persuasive ad for coca cola including themes of coolness,"make a persuasive ad for coca cola including themes of coolness, siggraph, dystopia, cosmic horror elements, dystopia core, concept art, guillermo del toro, featured on chris foss, frederic remington, featured on artstation"
33,make a persuasive ad for coca cola including themes of coolness and chillwave,"make a persuasive ad for coca cola including themes of coolness and chillwave,sample individual parts of the album,sample individual parts of the album and place the artist's name in the top ten on an album cover))"
34,make a persuasive ad for coca cola including themes of coolness,"make a persuasive ad for coca cola including themes of coolness, puzzle numbers, and coca cola. digital illustration. playstation premium"
35,make a persuasive ad for coca cola including themes of coolness,"make a persuasive ad for coca cola including themes of coolness, consciences"
36,make a persuasive ad for coca cola including themes of amazement and disappointed; audiophile shoegaze salesman with an impression of mindblowing colors turning its head on dmt through deep space ; 1 9 8 2 propaganda poster lit up by the single single single giant bulgarian crystal ; dark art deco,"make a persuasive ad for coca cola including themes of amazement and disappointed; audiophile shoegaze salesman with an impression of mindblowing colors turning its head on dmt through deep space ; 1 9 8 2 propaganda poster lit up by the single single single giant bulgarian crystal ; dark art deco, high detail, artstation, cgsociety, deviantart, 8 k post - processing highly detailed by giger, tom bagshaw, craig mullins, artgerm and greg rutkowski"
37,make a persuasive ad for coca cola including themes of amazement,"make a persuasive ad for coca cola including themes of amazement, # 1 ranking on pixiv"
38,make a persuasive ad for coca cola including themes of amazement 1 9 6 7,"make a persuasive ad for coca cola including themes of amazement 1 9 6 7, poignant. resolve 3 3 4 6 7, 4 5 6 b, 4 6 a 7 6 8, 9 6 8 c, h 6 4 edward, george hull, gustave dore, george hull, carl larsson, richard corben, wayne barlowe, nicola samori, northern alphonse mucha, karol bak, yukito kishiro. 8 k, oil on canvas, minimalistic composition, rule of thirds Excuse the undying light, emancipating, making the most of my life possible, profound epiphany"
39,make a persuasive ad for coca cola including themes of amazement and disbelief,"make a persuasive ad for coca cola including themes of amazement and disbelief, 3d ink outline, pitch black lips, dramatic light, complementary colors, octane render, trending on artstation"
40,make a persuasive ad for coca cola including themes of magic realism,"make a persuasive ad for coca cola including themes of magic realism, the machine in the ghost, eerie and horror, fantasy colors, concept art, fantasy coloring, graphite texture, intricate, gradient from green to black, in the style of francois boucher oil pastel"
41,make a persuasive ad for coca cola including themes of magic realism and propaganda,"make a persuasive ad for coca cola including themes of magic realism and propaganda, deep focus, symmetric, editorial photo, fashion editorial, religious, sidwill, iridescent ink"
42,make a persuasive ad for coca cola including themes of magic realism and eyewash,make a persuasive ad for coca cola including themes of magic realism and eyewash
43,make a persuasive ad for coca cola including themes of magic the gathering and major arcana,"make a persuasive ad for coca cola including themes of magic the gathering and major arcana, trending on"
44,make a persuasive ad for coca cola including themes of power,"make a persuasive ad for coca cola including themes of power, religion, love, family, patriotism, apple pie, black and white, hyperrealism, detailed textures, photorealistic 3 d render, cyberpunk apocalyptic city, futuristic clothing and helmet, ultra realistic, cinematic, intricate, cinematic light, unreal engine 8 k, octane render, unreal engine by david kostic and stanley lau and artgerm"
45,make a persuasive ad for coca cola including themes of power lines,"make a persuasive ad for coca cola including themes of power lines, footnotes, complete sources, expert notes, polished lines, extremely detailed, color graded, trending on artstation"
46,make a persuasive ad for coca cola including themes of power,"make a persuasive ad for coca cola including themes of power, romance, doubt, and triumph. illustrated in high detail, studio lighting delicate features finely detailed perfect art, at an ancient city, gapmoe yandere grimdark, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli"
47,make a persuasive ad for coca cola including themes of power,"make a persuasive ad for coca cola including themes of power, innocence, justice, and revenge. illustrated in low key light with minimalism by boris vallejo, featured on cgsociety, fantasy art, concept art, diflarge. octane render, trending on artstation"
48,make a persuasive ad for coca cola including themes of interest. colorful. ad for a coca cola. 4 k. 3 d. trending on artstation. ray  a persuasive ad for coca cola including themes of interest. Elegant colors. High format  featured on  crisp sharp,"make a persuasive ad for coca cola including themes of interest. colorful. ad for a coca cola. 4 k. 3 d. trending on artstation. ray  a persuasive ad for coca cola including themes of interest. Elegant colors. High format  featured on  crisp sharp, crisp lines, crisp pinks and  a persuasive ad for coca cola including themes of interest,sample the relevant tax forms and times lines with 58 letters, pitch black studios with bright lit windows with neon advertisements and hyper detailed red lines, pitch black walls with old cars and 1950s style machinery on the walls, photorealistic studio lighting on the walls a style of Atey Ghailan,  by Loish, by Bryan Lee O'Malley"
49,make a persuasive ad for coca cola including themes of interest andincentives,"make a persuasive ad for coca cola including themes of interest andincentives,pastel colour palette,greg rutkowski and charlie bowater,art installation art"
50,make a persuasive ad for coca cola including themes of simplicty of the personification of arbitrary impersonalities,"make a persuasive ad for coca cola including themes of simplicty of the personification of arbitrary impersonalities, by ( ( ( kuvshinov ilya ) ) ) and wayne barlowe and fernando botero!!! and george auferman spitzweg!!! and francis bacon!, trending on artstation, featured on pixiv, cinematic composition h 6 4 0"
51,make a persuasive ad for coca cola including themes of simplicty and sand,"make a persuasive ad for coca cola including themes of simplicty and sand, 4 k, hdr, nc conclus scientis, beeple, greg rutkowski, soE, Reimann lee, Charlie Bowater, donato giancola,  Albert Aublet, karol bak, ilya kuvshinov, ross draws"
52,make a persuasive ad for coca cola including themes of simplicty and arbitrary,"make a persuasive ad for coca cola including themes of simplicty and arbitrary, heavily influenced by frank frazetta and boris vallejo, rendered in pastel colors, studio lighting with very low artifacts"
53,make a persuasive ad for coca cola including themes of simplicty and exclusivity,"make a persuasive ad for coca cola including themes of simplicty and exclusivity, art for the 1 9 9 0 s at paris, historical background"
54,make a persuasive ad for coca cola including themes of elegance and surprise,"make a persuasive ad for coca cola including themes of elegance and surprise, outlined by whirling illuminated lines :: ornate, dynamic, particulate, intricate, elegant, highly detailed, centered, artstation, smooth, sharp focus, octane render, 3 d"
55,make a persuasive ad for coca cola including themes of elegance & luxury while assisting with the viewer in her professionalization process. illustrated by b. v. doshi,"make a persuasive ad for coca cola including themes of elegance & luxury while assisting with the viewer in her professionalization process. illustrated by b. v. doshi, trending on artstation, mid shot, 8 k, award winning, golden ratio, f 4,"
56,make a persuasive ad for coca cola including themes of elegance,"make a persuasive ad for coca cola including themes of elegance, elegance, national geographic, compass, and soviet propaganda"
57,make a persuasive ad for coca cola including themes of elegance and color,"make a persuasive ad for coca cola including themes of elegance and color, high resolution illustration in the style of edward hopper and james gilleard, photorealistic, liminal space, style by kelly mckernan,"
58,make a persuasive ad for coca cola including themes of luxury,"make a persuasive ad for coca cola including themes of luxury, apple, golf cartoony, abstract. by caravaggio. by rembrandt. trending on  a persuasive ad for coca cola including themes of luxury, winning Myers ward detailed, featured on pixiv, 4k HD"
59,make a persuasive ad for coca cola including themes of luxury hotel,"make a persuasive ad for coca cola including themes of luxury hotel, art theme + + H 768"
60,make a persuasive ad for coca cola including themes of luxury advertisement,"make a persuasive ad for coca cola including themes of luxury advertisement, incense smoke, pitchforks, and draws. Key Art. Trending on artstation. Digital Art. Fantasy"
61,make a persuasive ad for coca cola including themes of fantasy law,"make a persuasive ad for coca cola including themes of fantasy law, gray scale, red scale, red scale, bringer of darkness galactic illumination ray tracing hyperrealist, wizard rule of thirds golden ratio, fake detail, trending pixiv fanbox, acrylic palette knife, style of makoto shinkai studio ghibli genshin impact james gilleard greg rutkowski chiho aoshima"
62,make a persuasive ad for coca cola including themes of fantasy and horror,"make a persuasive ad for coca cola including themes of fantasy and horror, concept art, table with microphones"
63,make a persuasive ad for coca cola including themes of fantasy and civilization,"make a persuasive ad for coca cola including themes of fantasy and civilization, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by Krenz Cushart and Artem Demura and alphonse mucha,"
64,make a persuasive ad for coca cola including themes of fantasy and thriller,"make a persuasive ad for coca cola including themes of fantasy and thriller, dramatic lighting, expert design, 3d with depth of urgently Needle focus, octane render, photographic, photorealistic, concept art, 3d with depth of field, blurred background by  Giger, James Gene, Kenneth Willardt, thomas kinkade,  Finnegan and Rolf Armstrong and thomas kinkade,"
65,make a persuasive ad for coca cola including themes of old school. 7 5 mm f 1. 8 lit with 1 5 mm f 1. 8 lit edges. aerial photo. beeple. noah bradley. cyril roland. trending on  a persuasive ad for coca cola including themes of old school. digital illustration. hd. 4 k. wide angle trending on artstation,make a persuasive ad for coca cola including themes of old school. 7 5 mm f 1. 8 lit with 1 5 mm f 1. 8 lit edges. aerial photo. beeple. noah bradley. cyril roland. trending on  a persuasive ad for coca cola including themes of old school. digital illustration. hd. 4 k. wide angle trending on artstation
66,make a persuasive ad for coca cola including themes of old school,"make a persuasive ad for coca cola including themes of old school, farm background and the stars,, expertly draped draped colorfully on a divan made from glass by Akira Toriyama and Mina Petrovic, Range Murata, Katsuhiro Otomo, Yoshitaka Amano, and Artgerm. 3D shadowing effect, 8K resolution, 3D shadowing effect, ultra ornate detail, digital  a persuasive ad for coca cola including themes of old school. 50's sci fi horror  focus, crisp lines and  crisp sharp focus, crisp crisp crisp crisp lineart and sheet of shapes. color page after color. art by artgerm and greg rutkowski and alphonse"
67,make a persuasive ad for coca cola including themes of pop art. ( cola = poppy) orchid background. magical occult symbolism + beautiful circular magazine featuring on artstation. recherche. 8 k tgb film  a persuasive ad for coca cola including themes of pop rock,"make a persuasive ad for coca cola including themes of pop art. ( cola = poppy) orchid background. magical occult symbolism + beautiful circular magazine featuring on artstation. recherche. 8 k tgb film  a persuasive ad for coca cola including themes of pop rock, pop art, the good, the bad and the ugly, abraham lincoln, britney spears, gottfried helnwein, hiroshi yoshida, artgerm, sakimichan, takato yamamoto, cosmic, intricate detail, cinematic, 8 k, featured on artstation"
68,make a persuasive ad for coca cola including themes of pop art,"make a persuasive ad for coca cola including themes of pop art, incense smoke, golden handcuffs, poster art by frank frazetta john william godward, alphonse mucha and greg rutkowski"
69,make a persuasive ad for coca cola including themes of pop art country roads,"make a persuasive ad for coca cola including themes of pop art country roads, road signs, road signs, beautifull puffy clouds, 4 or 5 0's colored pencil, trending on artstation"
70,make a persuasive ad for coca cola including themes of anime,"make a persuasive ad for coca cola including themes of anime, colac as a fungal pawn, where do you root for your vile neighbour? by greg rutkowski. trending on  a persuasive ad for coca cola including themes of anime, studio lighting, high quality, red and white, pencil and paper, highly detailed, concept art, apocalyptcal angle, golden hour, sharp focus, 8 k realistic, octane render, unreal engine 5, trending on artstation, highly detailed, tilt shift, hd, 4 k, landscape art by greg rutkowski and artgerm & james gurney + johannes voss"
71,make a persuasive ad for coca cola including themes of anime. 8 k resolution clear detailed artistic representation recommended reading text,make a persuasive ad for coca cola including themes of anime. 8 k resolution clear detailed artistic representation recommended reading text
72,make a persuasive ad for coca cola including themes of anime. pop art patterns. clear framing,"make a persuasive ad for coca cola including themes of anime. pop art patterns. clear framing, pixiv. digital illustration. outrun. vivid"
73,make a persuasive ad for coca cola including themes of marvel comics,"make a persuasive ad for coca cola including themes of marvel comics, key visual, mythological, literal, epic and ultimate - clipless hyperrealistic landscape by moebius, jon foster and monet, trending on artstation at artstation"
74,make a persuasive ad for coca cola including themes of marvel comics,"make a persuasive ad for coca cola including themes of marvel comics, poster art, detailed color pallete, clean, finely detailed, minimal artifacts, rule of thirds, studio photo, 8k resolution, minimalistic composition, Gestalt, Beksinski, Giger, Rembrandt"
75,make a persuasive ad for coca cola including themes of marvel comics,"make a persuasive ad for coca cola including themes of marvel comics, courtroom atmosphere, expert, expert, very detailed and intricate details, extra detail, polished, finely detailed, rounded, chromatic, clear focus, color graded, illustration, realism, 4 k, wide angle, dramatic lighting, centered in the frame"
76,make a persuasive ad for coca cola including themes of marvel comics,"make a persuasive ad for coca cola including themes of marvel comics, golden hour, theme park, digital art, pencil, black and white trending on artstation"
77,make a persuasive ad for coca cola including themes of dc comics,"make a persuasive ad for coca cola including themes of dc comics, dynamic composition, dramatic lighting, trending on artstation, award winning art, stylized painting by rebecca guay, michael kaluta, charles vess and jean moebius giraud"
78,make a persuasive ad for coca cola including themes of dc comics,"make a persuasive ad for coca cola including themes of dc comics, octane render, dynamic lighting, epic composition, concept art, beautifully backlit, swirly vibrant color lines, fantastically gaudy, aesthetic octane render, 8 k hd resolution, by ilya kuvshinov and cushart krentz and gilleard james"
79,make a persuasive ad for coca cola including themes of dc comics,"make a persuasive ad for coca cola including themes of dc comics, scare the dog, rough edges, rough ink illustration, gentle strokes, realistic, flat, sharp lines, flat color, flat illustration, by greg rutkowski, clear lines, flat color, side view, seamless pattern, flat color scheme, horror, scary, cross section, flat color, completely centered, golden ratio, illustration, realistic composition inflateble shapes, super view, large scale, professional composition, simple color ink pen, minimalism, super detailed"
80,make a persuasive ad for coca cola including themes of dc comics,"make a persuasive ad for coca cola including themes of dc comics, octane render, redshift render, dynamic composition, dramatic lighting by stanley artgerm and greg rutkowski, trending on artstation"
81,make a persuasive ad for coca cola including themes of superhero,"make a persuasive ad for coca cola including themes of superhero, golden hour, impending doom, cosmic horror elements, concept art, dramatic lighting, studio lighting"
82,make a persuasive ad for coca cola including themes of superhero's creed in the creation of adam and eve and patriotism,"make a persuasive ad for coca cola including themes of superhero's creed in the creation of adam and eve and patriotism, trending on artstation"
83,make a persuasive ad for coca cola including themes of superhero's creed and country,"make a persuasive ad for coca cola including themes of superhero's creed and country, studio lighting, studio lighting, fake hidden detail, low angle, super highly detailed, professional digital painting, artstation, concept art, smooth, sharp focus, no blur, no dof, extreme illustration, unreal engine 5, photorealism, hd quality, 8 k resolution, cinema 4 d, 3 d, beautiful, cinematic, art by artgerm and greg rutkowski and alphonse mucha and loish and wlop"
84,make a persuasive ad for coca cola including themes of superhero,"make a persuasive ad for coca cola including themes of superhero, holy,martial arts, argentina culture, the Extended Universe, Society, created by gustave dore, high detailed, smooth draw, synthwave neon retro, intricate, realistic proportions, dramatic lighting, trending on"
85,make a persuasive ad for coca cola including themes of sunsets,"make a persuasive ad for coca cola including themes of sunsets, featured in artstation, octane render, redshift, vray, 3 d, dof, art by godwin akpan, octane render, 8 k, depth of field, 3 d"
86,make a persuasive ad for coca cola including themes of sunsets and springtime,"make a persuasive ad for coca cola including themes of sunsets and springtime, concept art, pitch black colors, studio gainax gainax corporate, gainax syndicate, syndicate trigger"
87,make a persuasive ad for coca cola including themes of sunsets and throne room,"make a persuasive ad for coca cola including themes of sunsets and throne room, concept art, acrilic paint, pencil, muted colors, post grunge, concept art by josan gonzales and wlop, david rubin, mike mignola, laurie greasley, highly detailed, sharp focus, trending on artstation, hq, deviantart, art by artgem"
88,make a persuasive ad for coca cola including themes of sunsets,"make a persuasive ad for coca cola including themes of sunsets, studio photo, detailed, cell shaded, 4 k, warm colours, concept art, by wlop, ilya kuvshinov, artgerm, krenz cushart, greg rutkowski, pixiv. cinematic dramatic atmosphere, sharp focus, volumetric lighting, cinematic lighting, studio quality"
89,make a persuasive ad for coca cola including themes of moon,"make a persuasive ad for coca cola including themes of moon, thunderstorm and throne, the mystic unity of the holy nexus, atmospheric beautiful pastel color palette with intricate rainbow nimbus + lit in ornate silver gold, octane render, finely detailed, extremely hyper - detailed, intricate, moody lighting + masterpiece, artstation, epic, cinematic + masterpiece + awardslaught + cgsociety"
90,make a persuasive ad for coca cola including themes of moon and planet,"make a persuasive ad for coca cola including themes of moon and planet, trending on artstation"
91,make a persuasive ad for coca cola including themes of moon,"make a persuasive ad for coca cola including themes of moon, snake oil, cotton and scissors, complete and ornamented with biblical stories, hyperdetailed, featured on cgsociety, trending on pixiv"
92,make a persuasive ad for coca cola including themes of moon,"make a persuasive ad for coca cola including themes of moon, hell, war, and throne, concept art, matte drawing. pulp sci - fi art. high detail, hd, 4k"
93,make a persuasive ad for coca cola including themes of cinematic movies,"make a persuasive ad for coca cola including themes of cinematic movies, 8k resolution, complex hue and lighting makeup, storybook format, concept art, dof, clear, crisp line drawings, golden ratio, serial shading, fl Legislative district format, rough paper texture, flat colored pencil, rough ink, rough ink, center of picture, illustrated accurately by fred fields and 8 j"
94,make a persuasive ad for coca cola including themes of cinematic movies,"make a persuasive ad for coca cola including themes of cinematic movies, discotheque art, foil art, rough sketch, pencil drawing, hyperpen detailed, intricate, artstation, makoto shinkai, craig mullins, peter mohrbacher studio ghibli"
95,make a persuasive ad for coca cola including themes of cinematic movies and period piece,"make a persuasive ad for coca cola including themes of cinematic movies and period piece, trending on artstation"
96,make a persuasive ad for coca cola including themes of cinematic movies,"make a persuasive ad for coca cola including themes of cinematic movies, cosmic horror elements, full of sense of scale, in the gritty posterized grainy analog style of studio ghibli and alphonse mucha, octane render, epic composition, exquisite detail, shot at wide medium shot, perfectly framed, vibrant colors, inspired by noah bradley, tyler edlin, jordan grimmer, darek zabrocki, neil blevins, tuomas korpi"
97,make a persuasive ad for coca cola including themes of kpop idol,"make a persuasive ad for coca cola including themes of kpop idol, symmetrical facial features, pink bright pastel, ornate, glittering, aegy ombre, fashion illustration, fashion design, hajime sorayama hd, icon, zdzislaw beksinski, karol bak, james jean, ironse mucha, artstation, pixiv, digital illustration"
